CFly (nF),RSW,FSW,IIn (mA),VIn,IOut (mA),VOut,eta,A,IIn (calc),IOut (calc),Eff (calc),,,M,N
1,0.1,2.50E+08,292.08,2.5,639.43,1,0.875691591,1,2.92E-01,6.39E-01,8.76E-01,1.42E-03,8.47E-02,8,8
1,1,2.50E+08,293.49,2.5,639.61,1,0.871729872,0.981684361,2.93E-01,6.39E-01,8.73E-01,1.52E-01,4.10E-02,8,8
1,2,2.50E+08,303.9,2.5,643.2,1,0.847040232,0.864664717,3.03E-01,6.43E-01,8.49E-01,3.39E-01,8.97E-02,8,8
1,3,2.50E+08,317.22,2.5,647.8,1,0.816846353,0.736402862,3.16E-01,6.47E-01,8.18E-01,3.13E-01,1.12E-01,8,8
1,4,2.50E+08,330.9,2.5,652.42,1,0.788661227,0.632120559,3.30E-01,6.52E-01,7.90E-01,3.21E-01,1.24E-01,8,8
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,0.1,2.50E+08,306.52,3,779.42,1,0.847601027,1.00E+00,3.06E-01,7.78E-01,8.48E-01,3.15E-03,2.11E-01,8,8
1,1,2.50E+08,308.32,3,779.58,1,0.842825636,9.82E-01,3.07E-01,7.79E-01,8.44E-01,3.01E-01,1.14E-01,8,8
1,2,2.50E+08,321.82,3,786.42,1,0.81455472,8.65E-01,3.20E-01,7.85E-01,8.17E-01,4.12E-01,1.49E-01,8,8
1,3,2.50E+08,339.83,3,795.56,1,0.78035096,7.36E-01,3.38E-01,7.94E-01,7.82E-01,4.49E-01,1.77E-01,8,8
1,4,2.50E+08,358.12,3,804.85,1,0.749143676,6.32E-01,3.56E-01,8.03E-01,7.51E-01,4.66E-01,2.02E-01,8,8
,,,,,,,,,,,,,,,
1,0.1,2.50E+08,278.5,2,500.92,1,0.899317774,1.00E+00,2.78E-01,5.00E-01,9.00E-01,2.59E-03,1.84E-01,8,8
1,1,2.50E+08,279.25,2,500.43,1,0.896025067,9.82E-01,2.79E-01,5.00E-01,8.97E-01,1.99E-01,8.60E-02,8,8
1,2,2.50E+08,286.01,2,500.43,1,0.874847033,8.65E-01,2.85E-01,5.00E-01,8.76E-01,2.67E-01,8.60E-02,8,8
1,3,2.50E+08,295.03,2,500.51,1,0.848235773,7.36E-01,2.94E-01,5.00E-01,8.50E-01,2.98E-01,1.02E-01,8,8
1,4,2.50E+08,304.21,2,500.62,1,0.822819763,6.32E-01,3.03E-01,5.00E-01,8.24E-01,3.23E-01,1.24E-01,8,8
