f (MHz),Iout (mA),Iin (mA),Vout,Vin
50,16.44,65.77,3.5,1
100,28.31,113.23,3.5,1
200,36.96,147.847,3.5,1
300,39.41,157.64,3.5,1
400,40.36,161.445,3.5,1
,,,,
,,,,
"Cfly = 1n per core, 2 cores per stage",,,,
R = 1,T = 0.01,B = 0.01,,
f (MHz),Iout (mA),Iin (mA),Vout,Vin
50,15.6036,67.9141,3.5,1
100,26.5254,117.102,3.5,1
200,33.347,155.3388,3.5,1
300,33.9328,168.7731,3.5,1
400,33.0404,176.162,3.5,1
,,,,
"Cfly = 1n per core, 2 cores per stage",,,,
R = 1,T = 0.05,B = 0.05,,
f (MHz),Iout (mA),Iin (mA),Vout,Vin
50,12.24086,76.4676,3.5,1
100,19.5166,133.066,3.5,1
200,18.837,185.348,3.5,1
300,12.0138,213.055,3.5,1
400,3.75528,235.021,3.5,1
