f (MHz),Iout (mA),Iin (mA),Vout,Vin,
50,16.44,65.77,3.5,1,
100,28.31,113.23,3.5,1,
200,36.96,147.847,3.5,1,
300,39.41,157.64,3.5,1,
400,40.36,161.445,3.5,1,
,,,,,
,,,,,
"Cfly = 1n per core, 2 cores per stage",,,,,
R = 1,T = 0.01,B = 0.01,,,
f (MHz),Iout (mA),Iin (mA),Vout,Vin,eta
50,15.598,67.91,3.5,1,0.803902224
100,26.56,117.035,3.5,1,0.794292306
200,33.34,155.34,3.5,1,0.751190936
300,33.93,168.77,3.5,1,0.703649938
400,33.04,176.16,3.5,1,0.656448683
,,,,,
"Cfly = 1n per core, 2 cores per stage",,,,,
R = 1,T = 0.05,B = 0.05,,,
f (MHz),Iout (mA),Iin (mA),Vout,Vin,eta
50,12.24,76.467,3.5,1,0.560241673
100,19.516,133.03,3.5,1,0.513463129
200,18.839,185.35,3.5,1,0.355740491
300,12.015,213.05,3.5,1,0.197383243
400,3.755,235.02,3.5,1,0.055920773
