fsw	V(in)	V(out)	I(V1)	I(V2)
2.000000000000000e+002	1.000000e+000	1.900000e+000	-1.809450e-006	7.069500e-007
7.000000000000000e+002	1.000000e+000	1.900000e+000	-6.333075e-006	2.744325e-006
1.200000000000000e+003	1.000000e+000	1.900000e+000	-1.085670e-005	4.781700e-006
1.700000000000000e+003	1.000000e+000	1.900000e+000	-1.538032e-005	6.819075e-006
2.200000000000000e+003	1.000000e+000	1.900000e+000	-1.990395e-005	8.856450e-006
2.700000000000000e+003	1.000000e+000	1.900000e+000	-2.442757e-005	1.089382e-005
3.200000000000000e+003	1.000000e+000	1.900000e+000	-2.895119e-005	1.293119e-005
3.700000000000000e+003	1.000000e+000	1.900000e+000	-3.347472e-005	1.496852e-005
4.200000000000000e+003	1.000000e+000	1.900000e+000	-3.799785e-005	1.700565e-005
4.700000000000000e+003	1.000000e+000	1.900000e+000	-4.251973e-005	1.904215e-005
5.200000000000000e+003	1.000000e+000	1.900000e+000	-4.703858e-005	2.107714e-005
5.700000000000000e+003	1.000000e+000	1.900000e+000	-5.155139e-005	2.310911e-005
6.200000000000000e+003	1.000000e+000	1.900000e+000	-5.605374e-005	2.513585e-005
6.700000000000000e+003	1.000000e+000	1.900000e+000	-6.053986e-005	2.715447e-005
7.200000000000000e+003	1.000000e+000	1.900000e+000	-6.500278e-005	2.916149e-005
7.700000000000000e+003	1.000000e+000	1.900000e+000	-6.943462e-005	3.115297e-005
8.200000000000000e+003	1.000000e+000	1.900000e+000	-7.382695e-005	3.312470e-005
8.700000000000000e+003	1.000000e+000	1.900000e+000	-7.817111e-005	3.507234e-005
9.200000000000000e+003	1.000000e+000	1.900000e+000	-8.245851e-005	3.699160e-005
9.700000000000000e+003	1.000000e+000	1.900000e+000	-8.668092e-005	3.887837e-005
1.020000000000000e+004	1.000000e+000	1.900000e+000	-9.083068e-005	4.072881e-005
1.070000000000000e+004	1.000000e+000	1.900000e+000	-9.490080e-005	4.253944e-005
1.120000000000000e+004	1.000000e+000	1.900000e+000	-9.888513e-005	4.430717e-005
1.170000000000000e+004	1.000000e+000	1.900000e+000	-1.027784e-004	4.602936e-005
1.220000000000000e+004	1.000000e+000	1.900000e+000	-1.065762e-004	4.770380e-005
1.270000000000000e+004	1.000000e+000	1.900000e+000	-1.102749e-004	4.932874e-005
1.320000000000000e+004	1.000000e+000	1.900000e+000	-1.138719e-004	5.090282e-005
1.370000000000000e+004	1.000000e+000	1.900000e+000	-1.173654e-004	5.242509e-005
1.420000000000000e+004	1.000000e+000	1.900000e+000	-1.207540e-004	5.389498e-005
1.470000000000000e+004	1.000000e+000	1.900000e+000	-1.240374e-004	5.531223e-005
1.520000000000000e+004	1.000000e+000	1.900000e+000	-1.272155e-004	5.667688e-005
1.570000000000000e+004	1.000000e+000	1.900000e+000	-1.302891e-004	5.798924e-005
1.620000000000000e+004	1.000000e+000	1.900000e+000	-1.332593e-004	5.924985e-005
1.670000000000000e+004	1.000000e+000	1.900000e+000	-1.361273e-004	6.045944e-005
1.720000000000000e+004	1.000000e+000	1.900000e+000	-1.388951e-004	6.161891e-005
1.770000000000000e+004	1.000000e+000	1.900000e+000	-1.415647e-004	6.272928e-005
1.820000000000000e+004	1.000000e+000	1.900000e+000	-1.441385e-004	6.379170e-005
1.870000000000000e+004	1.000000e+000	1.900000e+000	-1.466187e-004	6.480740e-005
1.920000000000000e+004	1.000000e+000	1.900000e+000	-1.490082e-004	6.577768e-005
1.970000000000000e+004	1.000000e+000	1.900000e+000	-1.513094e-004	6.670388e-005
2.020000000000000e+004	1.000000e+000	1.900000e+000	-1.535253e-004	6.758739e-005
2.070000000000000e+004	1.000000e+000	1.900000e+000	-1.556586e-004	6.842960e-005
2.120000000000000e+004	1.000000e+000	1.900000e+000	-1.577122e-004	6.923193e-005
2.170000000000000e+004	1.000000e+000	1.900000e+000	-1.596887e-004	6.999577e-005
2.220000000000000e+004	1.000000e+000	1.900000e+000	-1.615911e-004	7.072253e-005
2.270000000000000e+004	1.000000e+000	1.900000e+000	-1.634221e-004	7.141357e-005
