fsw,I(In),I(Out),V(out),V(in),V(t),V(b)
Step Information: B=0 T=0  (Run: 1/9),,,,,,
5.00E+07,-1.4799E-02,7.3996E-03,1.85E+00,1.00E+00,0.00,0.00
5.50E+07,-1.6153E-02,8.0767E-03,1.85E+00,1.00E+00,0.00,0.00
6.00E+07,-1.7450E-02,8.7252E-03,1.85E+00,1.00E+00,0.00,0.00
6.50E+07,-1.8684E-02,9.3422E-03,1.85E+00,1.00E+00,0.00,0.00
7.00E+07,-1.9851E-02,9.9257E-03,1.85E+00,1.00E+00,0.00,0.00
7.50E+07,-2.0950E-02,1.0475E-02,1.85E+00,1.00E+00,0.00,0.00
8.00E+07,-2.1980E-02,1.0990E-02,1.85E+00,1.00E+00,0.00,0.00
8.50E+07,-2.2942E-02,1.1471E-02,1.85E+00,1.00E+00,0.00,0.00
9.00E+07,-2.3839E-02,1.1920E-02,1.85E+00,1.00E+00,0.00,0.00
9.50E+07,-2.4673E-02,1.2337E-02,1.85E+00,1.00E+00,0.00,0.00
1.00E+08,-2.5449E-02,1.2724E-02,1.85E+00,1.00E+00,0.00,0.00
1.05E+08,-2.6168E-02,1.3084E-02,1.85E+00,1.00E+00,0.00,0.00
1.10E+08,-2.6835E-02,1.3418E-02,1.85E+00,1.00E+00,0.00,0.00
1.15E+08,-2.7454E-02,1.3727E-02,1.85E+00,1.00E+00,0.00,0.00
1.20E+08,-2.8028E-02,1.4014E-02,1.85E+00,1.00E+00,0.00,0.00
1.25E+08,-2.8560E-02,1.4280E-02,1.85E+00,1.00E+00,0.00,0.00
1.30E+08,-2.9054E-02,1.4527E-02,1.85E+00,1.00E+00,0.00,0.00
1.35E+08,-2.9512E-02,1.4756E-02,1.85E+00,1.00E+00,0.00,0.00
1.40E+08,-2.9938E-02,1.4969E-02,1.85E+00,1.00E+00,0.00,0.00
1.45E+08,-3.0334E-02,1.5167E-02,1.85E+00,1.00E+00,0.00,0.00
1.50E+08,-3.0702E-02,1.5351E-02,1.85E+00,1.00E+00,0.00,0.00
1.55E+08,-3.1045E-02,1.5522E-02,1.85E+00,1.00E+00,0.00,0.00
1.60E+08,-3.1364E-02,1.5682E-02,1.85E+00,1.00E+00,0.00,0.00
1.65E+08,-3.1663E-02,1.5831E-02,1.85E+00,1.00E+00,0.00,0.00
1.70E+08,-3.1941E-02,1.5970E-02,1.85E+00,1.00E+00,0.00,0.00
1.75E+08,-3.2201E-02,1.6101E-02,1.85E+00,1.00E+00,0.00,0.00
1.80E+08,-3.2445E-02,1.6222E-02,1.85E+00,1.00E+00,0.00,0.00
1.85E+08,-3.2673E-02,1.6336E-02,1.85E+00,1.00E+00,0.00,0.00
1.90E+08,-3.2887E-02,1.6443E-02,1.85E+00,1.00E+00,0.00,0.00
1.95E+08,-3.3087E-02,1.6544E-02,1.85E+00,1.00E+00,0.00,0.00
2.00E+08,-3.3276E-02,1.6638E-02,1.85E+00,1.00E+00,0.00,0.00
2.05E+08,-3.3453E-02,1.6727E-02,1.85E+00,1.00E+00,0.00,0.00
2.10E+08,-3.3620E-02,1.6810E-02,1.85E+00,1.00E+00,0.00,0.00
2.15E+08,-3.3777E-02,1.6889E-02,1.85E+00,1.00E+00,0.00,0.00
2.20E+08,-3.3926E-02,1.6963E-02,1.85E+00,1.00E+00,0.00,0.00
2.25E+08,-3.4065E-02,1.7033E-02,1.85E+00,1.00E+00,0.00,0.00
2.30E+08,-3.4198E-02,1.7099E-02,1.85E+00,1.00E+00,0.00,0.00
2.35E+08,-3.4322E-02,1.7161E-02,1.85E+00,1.00E+00,0.00,0.00
