fSW (MHz),I(IN),I(OUT),V(OUT),V(IN),A_T,A_B
50,-0.0148905,0.00698044,1.85E+00,1,0.01,0.01
55,-0.0162506,0.00761397,1.85E+00,1,0.01,0.01
60,-0.0175523,0.00821882,1.85E+00,1,0.01,0.01
65,-0.0187903,0.00879091,1.85E+00,1,0.01,0.01
70,-0.0199604,0.0093297,1.85E+00,1,0.01,0.01
75,-0.021061,0.00983347,1.85E+00,1,0.01,0.01
80,-0.0220925,0.0103025,1.85E+00,1,0.01,0.01
85,-0.0230551,0.0107375,1.85E+00,1,0.01,0.01
90,-0.0239519,0.0111401,1.85E+00,1,0.01,0.01
95,-0.0247859,0.0115101,1.85E+00,1,0.01,0.01
100,-0.0255612,0.0118508,1.85E+00,1,0.01,0.01
105,-0.0262787,0.0121641,1.85E+00,1,0.01,0.01
110,-0.0269451,0.0124504,1.85E+00,1,0.01,0.01
115,-0.0275623,0.0127129,1.85E+00,1,0.01,0.01
120,-0.0281353,0.0129522,1.85E+00,1,0.01,0.01
125,-0.028666,0.0131714,1.85E+00,1,0.01,0.01
130,-0.0291574,0.0133707,1.85E+00,1,0.01,0.01
135,-0.0296139,0.0135527,1.85E+00,1,0.01,0.01
140,-0.0300388,0.0137193,1.85E+00,1,0.01,0.01
145,-0.030433,0.0138687,1.85E+00,1,0.01,0.01
150,-0.0307988,0.0140058,1.85E+00,1,0.01,0.01
155,-0.0311399,0.0141302,1.85E+00,1,0.01,0.01
160,-0.031458,0.0142424,1.85E+00,1,0.01,0.01
165,-0.0317548,0.0143451,1.85E+00,1,0.01,0.01
170,-0.0320324,0.0144371,1.85E+00,1,0.01,0.01
175,-0.0322918,0.0145201,1.85E+00,1,0.01,0.01
180,-0.0325331,0.0145946,1.85E+00,1,0.01,0.01
185,-0.0327601,0.0146617,1.85E+00,1,0.01,0.01
190,-0.0329724,0.0147214,1.85E+00,1,0.01,0.01
195,-0.0331719,0.0147745,1.85E+00,1,0.01,0.01
200,-0.0333593,0.0148217,1.85E+00,1,0.01,0.01
205,-0.0335363,0.0148634,1.85E+00,1,0.01,0.01
210,-0.0337019,0.0149001,1.85E+00,1,0.01,0.01
215,-0.0338569,0.0149309,1.85E+00,1,0.01,0.01
220,-0.0340042,0.0149586,1.85E+00,1,0.01,0.01
225,-0.0341429,0.0149816,1.85E+00,1,0.01,0.01
230,-0.0342759,0.015001,1.85E+00,1,0.01,0.01
235,-0.0343983,0.015016,1.85E+00,1,0.01,0.01
240,-0.0345155,0.0150286,1.85E+00,1,0.01,0.01
245,-0.0346264,0.0150377,1.85E+00,1,0.01,0.01
250,-0.0347328,0.0150435,1.85E+00,1,0.01,0.01
50,-0.0151606,0.0052644,1.85E+00,1,0.05,0.05
55,-0.0165358,0.00572025,1.85E+00,1,0.05,0.05
60,-0.0178481,0.00614518,1.85E+00,1,0.05,0.05
65,-0.0190936,0.00653613,1.85E+00,1,0.05,0.05
70,-0.0202676,0.00689158,1.85E+00,1,0.05,0.05
75,-0.0213692,0.00721059,1.85E+00,1,0.05,0.05
80,-0.0223987,0.00749388,1.85E+00,1,0.05,0.05
85,-0.0233578,0.00774214,1.85E+00,1,0.05,0.05
90,-0.0242492,0.00795658,1.85E+00,1,0.05,0.05
95,-0.0250767,0.00813848,1.85E+00,1,0.05,0.05
100,-0.0258445,0.00829031,1.85E+00,1,0.05,0.05
105,-0.0265541,0.00841418,1.85E+00,1,0.05,0.05
110,-0.0272105,0.00851146,1.85E+00,1,0.05,0.05
115,-0.0278185,0.00858367,1.85E+00,1,0.05,0.05
