fsw	V(b)	V(in)	V(out)	V(t)	I(In)	I(Out)
Step Information: B=0 T=0  (Run: 1/9)
5.000000000000000e+007	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-1.479921e-002	7.399607e-003
5.500000000000000e+007	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-1.615337e-002	8.076686e-003
6.000000000000000e+007	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-1.745038e-002	8.725191e-003
6.500000000000000e+007	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-1.868432e-002	9.342158e-003
7.000000000000000e+007	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-1.985143e-002	9.925717e-003
7.500000000000000e+007	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-2.094997e-002	1.047498e-002
8.000000000000000e+007	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-2.197979e-002	1.098989e-002
8.500000000000000e+007	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-2.294208e-002	1.147104e-002
9.000000000000000e+007	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-2.383901e-002	1.191950e-002
9.500000000000000e+007	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-2.467339e-002	1.233670e-002
1.000000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-2.544851e-002	1.272425e-002
1.050000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-2.616788e-002	1.308394e-002
1.100000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-2.683514e-002	1.341757e-002
1.150000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-2.745388e-002	1.372694e-002
1.200000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-2.802763e-002	1.401382e-002
1.250000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-2.855978e-002	1.427989e-002
1.300000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-2.905353e-002	1.452676e-002
1.350000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-2.951190e-002	1.475595e-002
1.400000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-2.993769e-002	1.496884e-002
1.450000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-3.033351e-002	1.516676e-002
1.500000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-3.070178e-002	1.535089e-002
1.550000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-3.104471e-002	1.552235e-002
1.600000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-3.136433e-002	1.568217e-002
1.650000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-3.166252e-002	1.583126e-002
1.700000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-3.194097e-002	1.597049e-002
1.750000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-3.220126e-002	1.610063e-002
1.800000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-3.244480e-002	1.622240e-002
1.850000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-3.267290e-002	1.633645e-002
1.900000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-3.288676e-002	1.644338e-002
1.950000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-3.308745e-002	1.654373e-002
2.000000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-3.327598e-002	1.663799e-002
2.050000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-3.345326e-002	1.672663e-002
2.100000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-3.362010e-002	1.681005e-002
2.150000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-3.377729e-002	1.688864e-002
2.200000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-3.392550e-002	1.696275e-002
2.250000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-3.406539e-002	1.703269e-002
2.300000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-3.419753e-002	1.709876e-002
2.350000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-3.432247e-002	1.716123e-002
2.400000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-3.444069e-002	1.722034e-002
2.450000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-3.455266e-002	1.727633e-002
2.500000000000000e+008	0.000000e+000	1.000000e+000	1.850000e+000	0.000000e+000	-3.465879e-002	1.732939e-002
Step Information: B=10m T=0  (Run: 2/9)
5.000000000000000e+007	1.000000e-002	1.000000e+000	1.850000e+000	0.000000e+000	-1.528994e-002	7.395473e-003
5.500000000000000e+007	1.000000e-002	1.000000e+000	1.850000e+000	0.000000e+000	-1.668778e-002	8.069756e-003
6.000000000000000e+007	1.000000e-002	1.000000e+000	1.850000e+000	0.000000e+000	-1.802622e-002	8.714478e-003
6.500000000000000e+007	1.000000e-002	1.000000e+000	1.850000e+000	0.000000e+000	-1.929918e-002	9.326602e-003
7.000000000000000e+007	1.000000e-002	1.000000e+000	1.850000e+000	0.000000e+000	-2.050282e-002	9.904229e-003
7.500000000000000e+007	1.000000e-002	1.000000e+000	1.850000e+000	0.000000e+000	-2.163539e-002	1.044647e-002
8.000000000000000e+007	1.000000e-002	1.000000e+000	1.850000e+000	0.000000e+000	-2.269681e-002	1.095328e-002
8.500000000000000e+007	1.000000e-002	1.000000e+000	1.850000e+000	0.000000e+000	-2.368835e-002	1.142529e-002
9.000000000000000e+007	1.000000e-002	1.000000e+000	1.850000e+000	0.000000e+000	-2.461227e-002	1.186362e-002
9.500000000000000e+007	1.000000e-002	1.000000e+000	1.850000e+000	0.000000e+000	-2.547156e-002	1.226976e-002
