time	I(Out)
0.000000000000000e+000	5.759635e-003
3.499999999990734e-013	5.758632e-003
4.500000000441854e-013	5.632194e-003
4.531250000952260e-013	5.468530e-003
4.539062501344559e-013	5.347133e-003
4.554687501070367e-013	4.976417e-003
4.585937501580772e-013	4.093435e-003
4.648437501542793e-013	2.523121e-003
4.773437501466834e-013	8.848645e-004
5.023437501314916e-013	6.406915e-005
5.207743569714569e-013	2.639866e-007
5.388385185119569e-013	5.098679e-009
5.631617366308101e-013	4.231430e-010
5.834764583594176e-013	1.582665e-010
1.000000000027604e-012	-3.596212e-009
1.829035298670825e-012	-1.047147e-008
2.658070597314045e-012	-1.690178e-008
3.487105895957266e-012	-2.288714e-008
4.316141194600487e-012	-2.842756e-008
5.145176493243708e-012	-3.352303e-008
5.974211791886928e-012	-3.817356e-008
6.803247090530148e-012	-4.237915e-008
7.741409214874171e-012	-4.681217e-008
8.646971718549522e-012	-5.071524e-008
9.587971010031802e-012	-5.441184e-008
1.050506104914886e-011	-5.769526e-008
1.145074228623621e-011	-6.077879e-008
1.237988733552804e-011	-6.353739e-008
1.333278813078049e-011	-6.611157e-008
1.427502452637597e-011	-6.842674e-008
1.523767731962922e-011	-7.057650e-008
1.619450868339374e-011	-7.251753e-008
1.716963974315039e-011	-7.431296e-008
1.814308989884575e-011	-7.593864e-008
1.913372673272342e-011	-7.743778e-008
2.012637842981310e-011	-7.879786e-008
2.113595989014544e-011	-8.004889e-008
2.215102022311374e-011	-8.118528e-008
2.318351731417752e-011	-8.222827e-008
2.422490788421044e-011	-8.317627e-008
2.528496054279996e-011	-8.404459e-008
2.635743687630180e-011	-8.483385e-008
2.745051521376773e-011	-8.555529e-008
2.855982260657657e-011	-8.621070e-008
2.969242342724601e-011	-8.680848e-008
3.084550017229590e-011	-8.735091e-008
3.202539378616767e-011	-8.784439e-008
3.323063847612265e-011	-8.829134e-008
3.446718751275132e-011	-8.869670e-008
3.573481582891757e-011	-8.906285e-008
3.703939833460576e-011	-8.939367e-008
3.838192833603577e-011	-8.969134e-008
3.976851439373644e-011	-8.995897e-008
4.120144113365519e-011	-9.019857e-008
4.268740002194881e-011	-9.041262e-008
4.423015636750732e-011	-9.060292e-008
4.751478038965105e-011	-9.091998e-008
5.111576459443188e-011	-9.116307e-008
5.511324893432340e-011	-9.134369e-008
6.210416000068319e-011	-9.151899e-008
7.083433209925940e-011	-9.160436e-008
8.027727195927983e-011	-9.160721e-008
8.972021181930027e-011	-9.160275e-008
9.916315167932072e-011	-9.159097e-008
1.086060915393412e-010	-9.157188e-008
1.180490313993616e-010	-9.154548e-008
1.274919712593821e-010	-9.151176e-008
1.369349111194025e-010	-9.147072e-008
3.197920539757847e-010	-9.091744e-008
5.026491968321670e-010	-9.040347e-008
6.855063396885491e-010	-8.992881e-008
8.683634825449314e-010	-8.949346e-008
1.051220625401314e-009	-8.909742e-008
1.234077768257696e-009	-8.874070e-008
1.416934911114078e-009	-8.842329e-008
1.599792053970460e-009	-8.813059e-008
1.782649196826842e-009	-8.785870e-008
1.965506339683224e-009	-8.760760e-008
2.148363482539607e-009	-8.737730e-008
2.331220625395989e-009	-8.716781e-008
2.514077768252371e-009	-8.697912e-008
2.696934911108753e-009	-8.681123e-008
2.879792053965135e-009	-8.665640e-008
3.062649196821517e-009	-8.651257e-008
3.245506339677899e-009	-8.637975e-008
3.428363482534282e-009	-8.625793e-008
3.611220625390664e-009	-8.614711e-008
3.794077768247046e-009	-8.604730e-008
3.976934911103428e-009	-8.595849e-008
4.123229923802936e-009	-8.589201e-008
4.269524936502443e-009	-8.582948e-008
4.415819949201950e-009	-8.577091e-008
4.562114961901457e-009	-8.571630e-008
4.708409974600965e-009	-8.566564e-008
4.854704987300473e-009	-8.561894e-008
5.000999999999980e-009	-8.557620e-008
5.001349999999979e-009	-8.557610e-008
5.001450000000024e-009	-8.753954e-008
5.001453125000075e-009	-9.015125e-008
5.001453906250114e-009	-9.224640e-008
5.001455468750087e-009	-9.980739e-008
5.001458593750138e-009	-1.299532e-007
5.001464843750134e-009	-4.259137e-007
5.001477343750126e-009	-8.035010e-005
5.001502343750111e-009	-5.717024e-004
5.001504002987070e-009	-7.758088e-004
5.001507321460987e-009	-2.228539e-003
5.001513958408715e-009	-9.542389e-003
5.001518310701061e-009	-2.075252e-002
5.001521148667905e-009	-3.509956e-002
5.001523526859335e-009	-5.476664e-002
5.001525852956968e-009	-8.320256e-002
5.001528171612782e-009	-1.229129e-001
5.001530454466207e-009	-1.754019e-001
5.001532712214952e-009	-2.424877e-001
5.001535230612675e-009	-3.343084e-001
5.001537511373717e-009	-4.307439e-001
5.001542816352819e-009	-6.713066e-001
5.001544570594369e-009	-7.418848e-001
5.001546242441001e-009	-7.955831e-001
5.001547878706108e-009	-8.314931e-001
5.001549553657857e-009	-8.491465e-001
5.001551592406657e-009	-8.541508e-001
5.001615650634279e-009	-8.483644e-001
5.001679708861901e-009	-8.425883e-001
5.001743767089522e-009	-8.368226e-001
5.001807825317143e-009	-8.310672e-001
5.001871883544764e-009	-8.253222e-001
5.001935941772386e-009	-8.195875e-001
5.002000000000007e-009	-8.138632e-001
5.002505101100258e-009	-7.708141e-001
5.003010202200509e-009	-7.296283e-001
5.003515303300760e-009	-6.903058e-001
5.004020404401012e-009	-6.528467e-001
5.004525505501262e-009	-6.172508e-001
5.005030606601513e-009	-5.835183e-001
5.005535707701764e-009	-5.516492e-001
5.006228536024252e-009	-5.101923e-001
5.006990733746952e-009	-4.677834e-001
5.007776363043505e-009	-4.273143e-001
5.008628358459700e-009	-3.868764e-001
5.009508783690585e-009	-3.485467e-001
5.010454545459753e-009	-3.109653e-001
5.011434446169765e-009	-2.755938e-001
5.012480453750163e-009	-2.414733e-001
5.013567162975319e-009	-2.096047e-001
5.014722644604454e-009	-1.793132e-001
5.015926543021619e-009	-1.512604e-001
5.017204009063355e-009	-1.249674e-001
5.018539213515164e-009	-1.008491e-001
5.019955341396017e-009	-7.855830e-002
5.021440806390305e-009	-5.833340e-002
5.023017823123021e-009	-3.991315e-002
5.024679051583467e-009	-2.341148e-002
5.026446878237176e-009	-8.622061e-003
5.028318600479840e-009	4.427259e-003
5.030318244169663e-009	1.590849e-002
5.032448727489625e-009	2.585164e-002
5.034737833822692e-009	3.440733e-002
5.037196097056202e-009	4.164282e-002
5.039858470074816e-009	4.769481e-002
5.042747007718174e-009	5.265264e-002
5.045909927152568e-009	5.664273e-002
5.049388692567237e-009	5.976507e-002
5.053256878670066e-009	6.213655e-002
5.057592517991214e-009	6.385856e-002
5.062521584945449e-009	6.503651e-002
5.068200549009606e-009	6.576438e-002
5.082910049253918e-009	6.621004e-002
5.111479115802659e-009	6.540029e-002
5.140048182351398e-009	6.457439e-002
5.168617248900139e-009	6.373235e-002
5.197186315448878e-009	6.287416e-002
5.225755381997619e-009	6.199983e-002
5.254324448546359e-009	6.110935e-002
5.282893515095099e-009	6.020273e-002
5.465750657951481e-009	5.505403e-002
5.648607800807863e-009	5.027122e-002
5.831464943664246e-009	4.585431e-002
6.014322086520628e-009	4.180329e-002
6.197179229377010e-009	3.811817e-002
6.380036372233392e-009	3.479894e-002
6.562893515089774e-009	3.184560e-002
6.745750657946156e-009	2.912207e-002
6.928607800802538e-009	2.659210e-002
7.111464943658921e-009	2.425567e-002
7.294322086515303e-009	2.211279e-002
7.477179229371685e-009	2.016345e-002
7.660036372228068e-009	1.840767e-002
7.842893515084449e-009	1.684543e-002
7.961464943655385e-009	1.588769e-002
8.080036372226319e-009	1.497782e-002
8.198607800797255e-009	1.411583e-002
8.317179229368191e-009	1.330172e-002
8.435750657939127e-009	1.253549e-002
8.554322086510061e-009	1.181714e-002
8.672893515080997e-009	1.114667e-002
8.682893515080955e-009	1.109135e-002
8.865750657937338e-009	1.014278e-002
9.048607800793719e-009	9.261624e-003
9.231464943650102e-009	8.447877e-003
9.414322086506483e-009	7.701539e-003
9.597179229362866e-009	7.022612e-003
9.780036372219249e-009	6.411095e-003
9.962893515075630e-009	5.866989e-003
1.000000000000001e-008	5.759635e-003
1.000035000000001e-008	5.758632e-003
1.000045000000005e-008	5.632194e-003
1.000045312500011e-008	5.468530e-003
1.000045390625015e-008	5.347133e-003
1.000045546875012e-008	4.976417e-003
1.000045859375017e-008	4.093435e-003
1.000046484375016e-008	2.523121e-003
1.000047734375016e-008	8.848645e-004
1.000050234375014e-008	6.406915e-005
1.000052077435698e-008	2.639866e-007
1.000053883851852e-008	5.098679e-009
1.000056316173664e-008	4.231430e-010
1.000058347645837e-008	1.582665e-010
1.000100000000004e-008	-3.597179e-009
1.000182903529867e-008	-1.047194e-008
1.000265807059729e-008	-1.690188e-008
1.000348710589592e-008	-2.288699e-008
1.000431614119455e-008	-2.842727e-008
1.000514517649318e-008	-3.352272e-008
1.000597421179181e-008	-3.817335e-008
1.000680324709043e-008	-4.237915e-008
1.000774140921488e-008	-4.681217e-008
1.000864697171845e-008	-5.071524e-008
1.000958797101004e-008	-5.441184e-008
1.001050506104916e-008	-5.769526e-008
1.001145074228646e-008	-6.077879e-008
1.001237988733575e-008	-6.353739e-008
1.001333278813111e-008	-6.611157e-008
1.001427502452660e-008	-6.842674e-008
1.001523767731996e-008	-7.057650e-008
1.001619450868372e-008	-7.251753e-008
1.001716963974348e-008	-7.431296e-008
1.001814308989907e-008	-7.593864e-008
1.001913372673295e-008	-7.743778e-008
1.002012637842993e-008	-7.879786e-008
1.002113595989026e-008	-8.004889e-008
1.002215102022323e-008	-8.118528e-008
1.002318351731429e-008	-8.222827e-008
1.002422490788443e-008	-8.317627e-008
1.002528496054292e-008	-8.404459e-008
1.002635743687642e-008	-8.483385e-008
1.002745051521399e-008	-8.555529e-008
1.002855982260680e-008	-8.621070e-008
1.002969242342757e-008	-8.680848e-008
1.003084550017262e-008	-8.735091e-008
1.003202539378639e-008	-8.784439e-008
1.003323063847624e-008	-8.829134e-008
1.003446718751308e-008	-8.869670e-008
1.003573481582914e-008	-8.906285e-008
1.003703939833462e-008	-8.939367e-008
1.003838192833626e-008	-8.969134e-008
1.003976851439396e-008	-8.995897e-008
1.004120144113398e-008	-9.019857e-008
1.004268740002217e-008	-9.041262e-008
1.004423015636741e-008	-9.060292e-008
1.004751478039030e-008	-9.091998e-008
1.005111576459465e-008	-9.116307e-008
1.005511324893402e-008	-9.134369e-008
1.006210416000080e-008	-9.151899e-008
1.007083433209980e-008	-9.160436e-008
1.008027727195925e-008	-9.160721e-008
1.008972021181869e-008	-9.160275e-008
1.009916315167814e-008	-9.159097e-008
1.010860609153758e-008	-9.157188e-008
1.011804903139703e-008	-9.154548e-008
1.012749197125647e-008	-9.151176e-008
1.013693491111592e-008	-9.147072e-008
1.031979205397230e-008	-9.091744e-008
1.050264919682868e-008	-9.040347e-008
1.068550633968507e-008	-8.992881e-008
1.086836348254145e-008	-8.949346e-008
1.105122062539783e-008	-8.909742e-008
1.123407776825421e-008	-8.874070e-008
1.141693491111059e-008	-8.842329e-008
1.159979205396698e-008	-8.813059e-008
1.178264919682336e-008	-8.785870e-008
1.196550633967974e-008	-8.760760e-008
1.214836348253612e-008	-8.737730e-008
1.233122062539251e-008	-8.716781e-008
1.251407776824889e-008	-8.697912e-008
1.269693491110527e-008	-8.681123e-008
1.287979205396165e-008	-8.665640e-008
1.306264919681803e-008	-8.651257e-008
1.324550633967442e-008	-8.637975e-008
1.342836348253080e-008	-8.625793e-008
1.361122062538718e-008	-8.614711e-008
1.379407776824356e-008	-8.604730e-008
1.397693491109994e-008	-8.595849e-008
1.412322992379995e-008	-8.589201e-008
1.426952493649996e-008	-8.582948e-008
1.441581994919996e-008	-8.577091e-008
1.456211496189997e-008	-8.571630e-008
1.470840997459998e-008	-8.566564e-008
1.485470498729998e-008	-8.561894e-008
1.500099999999999e-008	-8.557620e-008
1.500134999999999e-008	-8.557610e-008
1.500145000000003e-008	-8.753954e-008
1.500145312500009e-008	-9.015125e-008
1.500145390625012e-008	-9.224640e-008
1.500145546875010e-008	-9.980739e-008
1.500145859375015e-008	-1.299532e-007
1.500146484375014e-008	-4.259137e-007
1.500147734375014e-008	-8.035010e-005
1.500150234375012e-008	-5.717024e-004
1.500150400298719e-008	-7.758088e-004
1.500150732146132e-008	-2.228539e-003
1.500151395840968e-008	-9.542392e-003
1.500151831070224e-008	-2.075252e-002
1.500152114866908e-008	-3.509957e-002
1.500152352686051e-008	-5.476665e-002
1.500152585295814e-008	-8.320258e-002
1.500152817161396e-008	-1.229130e-001
1.500153045446728e-008	-1.754019e-001
1.500153271221602e-008	-2.424878e-001
1.500153523061353e-008	-3.343085e-001
1.500153751137468e-008	-4.307440e-001
1.500154281635399e-008	-6.713067e-001
1.500154457059396e-008	-7.418848e-001
1.500154624244154e-008	-7.955831e-001
1.500154787870707e-008	-8.314932e-001
1.500154955365893e-008	-8.491465e-001
1.500155159240752e-008	-8.541508e-001
1.500161565063502e-008	-8.483644e-001
1.500167970886252e-008	-8.425883e-001
1.500174376709002e-008	-8.368226e-001
1.500180782531752e-008	-8.310672e-001
1.500187188354502e-008	-8.253222e-001
1.500193594177252e-008	-8.195875e-001
1.500200000000002e-008	-8.138632e-001
1.500250510145277e-008	-7.708140e-001
1.500301020290552e-008	-7.296282e-001
1.500351530435828e-008	-6.903058e-001
1.500402040581103e-008	-6.528466e-001
1.500452550726378e-008	-6.172507e-001
1.500503060871654e-008	-5.835182e-001
1.500553571016929e-008	-5.516490e-001
1.500622853904552e-008	-5.101921e-001
1.500699073658219e-008	-4.677833e-001
1.500777636637627e-008	-4.273141e-001
1.500862836166891e-008	-3.868762e-001
1.500950878735475e-008	-3.485466e-001
1.501045454905828e-008	-3.109652e-001
1.501143445019329e-008	-2.755937e-001
1.501248045776289e-008	-2.414731e-001
1.501356716739525e-008	-2.096046e-001
1.501472264906695e-008	-1.793131e-001
1.501592654788582e-008	-1.512603e-001
1.501720401402486e-008	-1.249673e-001
1.501853921888600e-008	-1.008490e-001
1.501995534692313e-008	-7.855822e-002
1.502144081234940e-008	-5.833332e-002
1.502301782930574e-008	-3.991308e-002
1.502467905823925e-008	-2.341142e-002
1.502644688519800e-008	-8.622007e-003
1.502831860797927e-008	4.427307e-003
1.503031825207853e-008	1.590853e-002
1.503244873603694e-008	2.585168e-002
1.503473784292089e-008	3.440736e-002
1.503719610694469e-008	4.164285e-002
1.503985848071705e-008	4.769483e-002
1.504274701938765e-008	5.265266e-002
1.504590993988518e-008	5.664274e-002
1.504938870671238e-008	5.976509e-002
1.505325689438698e-008	6.213655e-002
1.505759253579205e-008	6.385856e-002
1.506252160523349e-008	6.503651e-002
1.506820057267328e-008	6.576438e-002
1.508291008353759e-008	6.621004e-002
1.511147915137179e-008	6.540029e-002
1.514004821920599e-008	6.457439e-002
1.516861728704020e-008	6.373235e-002
1.519718635487440e-008	6.287416e-002
1.522575542270860e-008	6.199983e-002
1.525432449054281e-008	6.110935e-002
1.528289355837701e-008	6.020273e-002
1.546575070123339e-008	5.505403e-002
1.564860784408978e-008	5.027122e-002
1.583146498694616e-008	4.585431e-002
1.601432212980254e-008	4.180329e-002
1.619717927265892e-008	3.811817e-002
1.638003641551530e-008	3.479894e-002
1.656289355837169e-008	3.184560e-002
1.666860784408553e-008	3.022387e-002
1.677432212979938e-008	2.867566e-002
1.688003641551322e-008	2.720096e-002
1.698575070122707e-008	2.579978e-002
1.709146498694092e-008	2.447211e-002
1.719717927265476e-008	2.321797e-002
1.730289355836861e-008	2.203733e-002
1.731289355836857e-008	2.192797e-002
1.749575070122495e-008	2.005262e-002
1.767860784408133e-008	1.831055e-002
1.786146498693771e-008	1.670175e-002
1.804432212979409e-008	1.522622e-002
1.822717927265048e-008	1.388397e-002
1.841003641550686e-008	1.267498e-002
1.859289355836324e-008	1.159927e-002
1.877575070121962e-008	1.060726e-002
1.895860784407601e-008	9.685753e-003
1.914146498693239e-008	8.834741e-003
1.932432212978877e-008	8.054226e-003
1.950717927264515e-008	7.344208e-003
1.969003641550154e-008	6.704687e-003
1.987289355835792e-008	6.135664e-003
2.000000000000002e-008	5.759635e-003
2.000035000000002e-008	5.758632e-003
2.000045000000006e-008	5.632194e-003
2.000045312500012e-008	5.468530e-003
2.000045390625016e-008	5.347133e-003
2.000045546875013e-008	4.976417e-003
2.000045859375018e-008	4.093435e-003
2.000046484375018e-008	2.523121e-003
2.000047734375017e-008	8.848645e-004
2.000050234375015e-008	6.406915e-005
2.000052077435699e-008	2.639866e-007
2.000053883851853e-008	5.098679e-009
2.000056316173665e-008	4.231430e-010
2.000058347645838e-008	1.582665e-010
2.000100000000005e-008	-3.597179e-009
2.000182903529872e-008	-1.047194e-008
